date time lat lon depth ML nstn dmin gap trms ERH ERZ fixed nph quality
2021-11-27 07:55:24.72 24.0318 121.6847 45.08 2.19 33 9.80 101 0.33 0.90 0.90 F 50 C
2021-11-27 10:17:40.53 24.2362 121.9528 14.42 2.23 17 22.20 155 0.32 1.40 0.70 F 23 C
2021-11-27 10:54:41.72 24.1182 121.2675 32.62 2.05 12 14.50 116 0.23 0.60 0.50 F 18 B
2021-11-27 10:58:26.67 24.0517 121.6098 25.46 1.51 10 3.30 218 0.21 1.00 0.70 F 18 D
2021-11-27 10:58:46.31 24.2957 121.7325 1.72 1.72 18 3.80 133 0.35 0.70 0.40 F 27 B
2021-11-27 11:49:49.37 23.7015 121.5355 5.71 1.22 18 1.40 130 0.35 0.80 0.90 F 27 B
2021-11-27 12:14:31.37 24.2443 121.6792 57.59 2.33 26 9.90 106 0.27 0.70 0.60 F 39 B
2021-11-27 12:17:38.75 23.7662 121.5273 9.26 1.58 19 4.30 105 0.31 0.70 0.80 F 30 B
2021-11-27 12:19:18.79 24.1423 121.5015 5.32 1.71 26 7.40 61 0.37 0.30 0.50 F 47 C
2021-11-27 12:44:39.85 23.5868 121.2463 8.90 1.26 14 12.40 73 0.31 0.40 1.50 F 22 C
2021-11-27 12:46:46.42 23.7618 121.5332 10.20 1.51 15 4.10 119 0.25 0.70 0.70 F 23 B
2021-11-27 13:25:03.88 23.7762 121.4778 9.11 1.52 20 5.40 108 0.33 0.60 0.80 F 32 B
2021-11-27 13:34:01.24 24.0212 121.6982 33.16 3.20 99 10.00 37 0.34 0.20 0.20 F 209 B
2021-11-27 14:03:40.98 24.0983 121.5475 9.96 1.08 13 6.10 90 0.38 1.20 1.40 F 24 A
2021-11-27 14:15:08.52 24.1540 121.5062 8.52 1.61 26 6.40 54 0.35 0.50 0.70 F 50 A
2021-11-27 17:22:13.18 23.6918 121.5328 3.54 1.23 16 2.30 150 0.25 0.30 0.30 F 21 C
2021-11-27 18:45:13.36 23.9098 121.5142 10.61 2.11 42 6.50 69 0.29 0.20 0.30 F 74 B
2021-11-27 18:46:36.36 23.7158 121.9935 32.35 2.35 20 44.60 166 0.31 0.60 0.80 F 35 C
2021-11-27 18:51:35.37 24.0718 121.6320 28.53 1.84 32 3.00 100 0.34 0.80 0.40 F 56 B
2021-11-27 19:42:08.93 23.7460 121.5312 8.75 1.42 13 4.50 123 0.20 0.70 0.40 F 17 B
2021-11-27 20:13:29.71 23.7588 121.5145 9.88 1.32 16 5.80 92 0.22 0.50 0.50 F 26 B
2021-11-27 20:29:23.03 23.7908 121.4923 15.13 0.93 9 5.70 55 0.24 1.20 0.90 F 13 A
2021-11-27 21:47:06.51 23.7762 121.4423 11.40 1.31 14 4.00 103 0.30 0.80 0.60 F 23 B
2021-11-27 22:43:26.23 23.7268 121.9613 31.24 2.68 51 41.20 85 0.39 0.30 0.80 F 96 C
2021-11-27 23:42:12.04 23.8018 121.3842 17.91 1.58 20 5.90 68 0.35 0.70 1.00 F 34 A
2021-11-28 01:24:35.39 24.1105 121.4117 60.90 2.52 26 9.90 61 0.34 0.60 0.50 F 50 B
2021-11-28 02:32:21.35 23.7402 121.6865 38.18 3.12 80 13.70 71 0.32 0.30 0.30 F 129 B
2021-11-28 04:09:40.34 23.8242 121.4542 9.65 2.82 68 1.90 61 0.33 0.20 0.20 F 125 B
2021-11-28 04:38:37.00 24.0957 121.6982 59.50 2.55 21 13.60 191 0.38 1.70 1.30 F 39 D
2021-11-28 09:13:12.25 24.2435 121.3718 7.65 2.64 69 11.90 30 0.30 0.10 0.20 F 132 B
2021-11-28 13:16:38.39 24.1980 121.7378 48.96 2.16 42 12.20 91 0.30 0.80 0.80 F 73 B
2021-11-28 15:21:55.30 23.8437 121.4397 65.16 2.67 27 3.50 167 0.46 1.60 1.40 F 54 C
2021-11-28 15:54:19.75 23.7088 121.4647 8.00 2.77 86 5.80 110 0.42 0.20 0.20 F 172 C
2021-11-28 23:11:27.64 24.1918 121.6692 32.24 4.61 99 6.00 30 0.30 0.20 0.10 F 266 B
2021-11-28 23:13:01.77 24.1897 121.6617 32.14 2.66 30 5.20 173 0.25 0.40 0.40 F 57 C
2021-11-29 01:10:56.85 24.1855 121.6508 30.36 2.41 38 4.10 79 0.33 0.40 0.40 F 67 B
2021-11-29 05:15:09.11 23.8072 121.4232 14.86 2.51 47 1.90 79 0.30 0.20 0.20 F 94 B
2021-11-29 07:52:18.15 23.9068 121.4427 19.11 2.78 46 8.30 45 0.31 0.20 0.30 F 87 B
2021-11-29 10:05:45.51 23.7585 121.9853 37.26 2.30 31 42.30 94 0.44 0.70 1.20 F 50 C
2021-11-29 22:16:11.21 23.6690 121.6160 40.95 2.03 19 8.20 234 0.42 0.90 0.50 F 31 D
2021-11-30 03:31:32.33 24.2557 121.6712 10.89 1.87 11 8.80 197 0.29 0.90 0.60 F 21 D
2021-11-30 08:23:19.96 23.7298 121.6497 33.49 2.87 59 10.70 94 0.27 0.20 0.20 F 112 B
2021-11-30 09:36:47.16 23.8753 121.4233 18.16 2.37 39 7.30 88 0.30 0.20 0.20 F 74 B
2021-11-30 14:25:33.75 24.0920 121.8570 46.10 2.31 40 24.90 63 0.38 0.40 0.50 F 69 B
